ALLID	MSPD	MSW	TSLW	MSPW	PGW	MSPL	Phylum	Name
OTU_19171	-1.30459						Unclassified	OTU_19171|k Bacteria
OTU_204						0.6066	Unclassified	OTU_204|k Bacteria
OTU_21334				0.6802	0.7219		Unclassified	OTU_21334|k Bacteria
OTU_23684			-0.0324057				Unclassified	OTU_23684|k Bacteria
OTU_4108			0.0431896				Unclassified	OTU_4108|k Bacteria
OTU_4289						-0.6482	Unclassified	OTU_4289|k Bacteria
OTU_6388				0.4661			Unclassified	OTU_6388|k Bacteria
OTU_6431	0.82756						Unclassified	OTU_6431|k Bacteria
OTU_676				-0.4887	-0.6379		Unclassified	OTU_676|k Bacteria
OTU_77	-1.0818						Unclassified	OTU_77|k Bacteria
OTU_859	-1.1382						Unclassified	OTU_859|k Bacteria
OTU_100		0.17747					Unclassified	OTU_100|k Bacteria
OTU_155	0.62652						Unclassified	OTU_155|k Bacteria
OTU_16754					0.4422		Unclassified	OTU_16754|k Bacteria
OTU_127		0.19325					Acidobacteria	OTU_127|g Blastocatella
OTU_148						0.6323	Acidobacteria	OTU_148|g Blastocatella
OTU_205				-1.0359	-0.5514	-0.4978	Acidobacteria	OTU_205|g Gp10
OTU_219		0.15273					Acidobacteria	OTU_219|g Gp3
OTU_2422	-0.84397						Acidobacteria	OTU_2422|g Gp3
OTU_25134					0.3877		Acidobacteria	OTU_25134|g Gp3
OTU_25463		-0.24974					Acidobacteria	OTU_25463|g Gp3
OTU_493	1.0071	0.11242					Acidobacteria	OTU_493|g Gp3
OTU_798		-0.19821					Acidobacteria	OTU_798|g Gp3
OTU_24028	-1.82571						Acidobacteria	OTU_24028|g Gp4
OTU_25	1.46931						Acidobacteria	OTU_25|g Gp4
OTU_10646		-0.17627					Acidobacteria	OTU_10646|g Gp6
OTU_16396		0.31523					Acidobacteria	OTU_16396|g Gp6
OTU_16465	2.84366	0.55127					Acidobacteria	OTU_16465|g Gp6
OTU_17208		-0.13269					Acidobacteria	OTU_17208|g Gp6
OTU_17600		-0.37567					Acidobacteria	OTU_17600|g Gp6
OTU_19284		-0.3225					Acidobacteria	OTU_19284|g Gp6
OTU_20590		0.28811				0.7655	Acidobacteria	OTU_20590|g Gp6
OTU_2144		-0.24487					Acidobacteria	OTU_2144|g Gp6
OTU_21573						-0.8004	Acidobacteria	OTU_21573|g Gp6
OTU_21968	-0.82441						Acidobacteria	OTU_21968|g Gp6
OTU_22329						1.0798	Acidobacteria	OTU_22329|g Gp6
OTU_22673	1.03685					-1.0338	Acidobacteria	OTU_22673|g Gp6
OTU_24870		-0.39359					Acidobacteria	OTU_24870|g Gp6
OTU_2750		0.2322					Acidobacteria	OTU_2750|g Gp6
OTU_28080		-0.31764					Acidobacteria	OTU_28080|g Gp6
OTU_28378						0.8879	Acidobacteria	OTU_28378|g Gp6
OTU_3745						-0.4451	Acidobacteria	OTU_3745|g Gp6
OTU_51	-0.88484						Acidobacteria	OTU_51|g Gp6
OTU_87	0.6695	0.20262					Acidobacteria	OTU_87|g Gp6
OTU_88	-1.43465	-0.34236	-0.0368583				Acidobacteria	OTU_88|g Gp6
OTU_9000		0.23862					Acidobacteria	OTU_9000|g Gp6
OTU_9170		0.29383					Acidobacteria	OTU_9170|g Gp6
OTU_22948	0.79478						Acidobacteria	OTU_22948|g Gp7
OTU_69		0.55311					Acidobacteria	OTU_69|g Gp7
OTU_25484	-0.6065						Actinobacteria	OTU_25484|f Geodermatophilaceae
OTU_22251						-0.3045	Actinobacteria	OTU_22251|f Micrococcaceae
OTU_16737				-0.5101	-0.409		Actinobacteria	OTU_16737|f Micromonosporaceae
OTU_10210			0.0001661				Actinobacteria	OTU_10210|f Pseudonocardiaceae
OTU_12096			0.0009202	0.3181			Actinobacteria	OTU_12096|f Pseudonocardiaceae
OTU_1735				0.8742			Actinobacteria	OTU_1735|f Pseudonocardiaceae
OTU_21466					-0.8318		Actinobacteria	OTU_21466|f Pseudonocardiaceae
OTU_28438				0.6931			Actinobacteria	OTU_28438|f Pseudonocardiaceae
OTU_452						-0.4326	Actinobacteria	OTU_452|c Actinobacteria
OTU_129	0.93651				-0.5202		Actinobacteria	OTU_129|g Actinophytocola
OTU_625				-0.9032	-0.6804	-0.6294	Actinobacteria	OTU_625|g Actinoplanes
OTU_18		0.19406		-1.1815			Actinobacteria	OTU_18|g Aeromicrobium
OTU_22257		0.16875		-0.7285			Actinobacteria	OTU_22257|g Amycolatopsis
OTU_265			-0.0348153	0.6453			Actinobacteria	OTU_265|g Amycolatopsis
OTU_147					-0.57		Actinobacteria	OTU_147|g Conexibacter
OTU_1817			-0.0177297				Actinobacteria	OTU_1817|g Crossiella
OTU_74		-0.32794					Actinobacteria	OTU_74|g Friedmanniella
OTU_78			-0.0448548				Actinobacteria	OTU_78|g Gaiella
OTU_318						-0.8273	Actinobacteria	OTU_318|g Geodermatophilus
OTU_397		-0.07597		0.8328	0.6243		Actinobacteria	OTU_397|g Ilumatobacter
OTU_28653						0.5683	Actinobacteria	OTU_28653|g Janibacter
OTU_11372	0.96216	0.37073					Actinobacteria	OTU_11372|g Kitasatospora
OTU_13220	-0.72509		-0.0395453				Actinobacteria	OTU_13220|g Kitasatospora
OTU_26487	0.91368						Actinobacteria	OTU_26487|g Kitasatospora
OTU_2749		-0.30557					Actinobacteria	OTU_2749|g Kitasatospora
OTU_28317		0.25255					Actinobacteria	OTU_28317|g Kitasatospora
OTU_8	0.74233						Actinobacteria	OTU_8|g Kitasatospora
OTU_15881	-0.91283	-0.32212					Actinobacteria	OTU_15881|g Kribbella
OTU_117					1.2553		Actinobacteria	OTU_117|g Lechevalieria
OTU_24323				-1.2427	-0.4646		Actinobacteria	OTU_24323|g Lechevalieria
OTU_4				-1.2245	-0.8713		Actinobacteria	OTU_4|g Lentzea
OTU_31			0.0307034				Actinobacteria	OTU_31|g Microbacterium
OTU_11612			-0.0306231				Actinobacteria	OTU_11612|g Nocardioides
OTU_13118				-0.515			Actinobacteria	OTU_13118|g Nocardioides
OTU_213				0.5296			Actinobacteria	OTU_213|g Nocardioides
OTU_23			0.0440671	0.984			Actinobacteria	OTU_23|g Nocardioides
OTU_3689				0.4401			Actinobacteria	OTU_3689|g Nocardioides
OTU_71		-0.15302		0.951	0.4741		Actinobacteria	OTU_71|g Nonomuraea
OTU_80						1.0724	Actinobacteria	OTU_80|g Phycicoccus
OTU_136			0.0518604	-1.0316			Actinobacteria	OTU_136|g Pseudonocardia
OTU_3030				0.983			Actinobacteria	OTU_3030|g Solirubrobacter
OTU_19141	-1.62083						Actinobacteria	OTU_19141|g Sporichthya
OTU_1235	-0.62889						Actinobacteria	OTU_1235|g Streptomyces
OTU_2385			0.058871				Actinobacteria	OTU_2385|g Streptomyces
OTU_25735			0.0184871				Actinobacteria	OTU_25735|g Streptomyces
OTU_26647	-0.81497						Actinobacteria	OTU_26647|g Streptomyces
OTU_27736	-0.65562						Actinobacteria	OTU_27736|g Streptomyces
OTU_107					-0.4044		Actinobacteria	OTU_107|o Acidimicrobiales
OTU_191			-0.0390752				Actinobacteria	OTU_191|o Actinomycetales
OTU_2756	-1.61054	-0.49303					Actinobacteria	OTU_2756|o Actinomycetales
OTU_3519				1.5217	1.0931		Actinobacteria	OTU_3519|o Actinomycetales
OTU_4297				0.4832			Actinobacteria	OTU_4297|o Actinomycetales
OTU_571					0.8865		Actinobacteria	OTU_571|o Actinomycetales
OTU_96			0.0476868				Actinobacteria	OTU_96|o Solirubrobacterales
OTU_63			0.0302765				Armatimonadetes	OTU_63|g gp3
OTU_10255				0.8676			Bacteroidetes	OTU_10255|f Chitinophagaceae
OTU_1219			0.0240516				Bacteroidetes	OTU_1219|f Chitinophagaceae
OTU_162	1.3582						Bacteroidetes	OTU_162|f Chitinophagaceae
OTU_2653				0.3371			Bacteroidetes	OTU_2653|f Chitinophagaceae
OTU_26869		0.18758					Bacteroidetes	OTU_26869|f Chitinophagaceae
OTU_79		-0.11158					Bacteroidetes	OTU_79|f Chitinophagaceae
OTU_975					-0.4467		Bacteroidetes	OTU_975|f Chitinophagaceae
OTU_44	0.91991						Bacteroidetes	OTU_44|g Adhaeribacter
OTU_26494					-0.231		Bacteroidetes	OTU_26494|g Chitinophaga
OTU_295				-0.4773	-0.3144		Bacteroidetes	OTU_295|g Chitinophaga
OTU_34						0.9038	Bacteroidetes	OTU_34|g Chitinophaga
OTU_22820		-0.25551				0.2719	Bacteroidetes	OTU_22820|g Dyadobacter
OTU_9087						-0.6112	Bacteroidetes	OTU_9087|g Ferruginibacter
