U173,U594,U299,U550
Millet_GLEAN_10033268,Millet_GLEAN_10033268,Millet_GLEAN_10033268,Millet_GLEAN_10033268
Millet_GLEAN_10009208,Millet_GLEAN_10033176,Millet_GLEAN_10033176,Millet_GLEAN_10038643
Millet_GLEAN_10009964,Millet_GLEAN_10009208,Millet_GLEAN_10009208,Millet_GLEAN_10005708
Millet_GLEAN_10005754,Millet_GLEAN_10005754,Millet_GLEAN_10009964,Millet_GLEAN_10029891
Millet_GLEAN_10038643,Millet_GLEAN_10038643,Millet_GLEAN_10005754,Millet_GLEAN_10037597
Millet_GLEAN_10011048,Millet_GLEAN_10011048,Millet_GLEAN_10038643,Millet_GLEAN_10023017
Millet_GLEAN_10001495,Millet_GLEAN_10005708,Millet_GLEAN_10001495,Millet_GLEAN_10022949
Millet_GLEAN_10029782,Millet_GLEAN_10001803,Millet_GLEAN_10029891,Millet_GLEAN_10022671
Millet_GLEAN_10001803,Millet_GLEAN_10022949,Millet_GLEAN_10001803,Millet_GLEAN_10010479
Millet_GLEAN_10022949,Millet_GLEAN_10036681,Millet_GLEAN_10034606,Millet_GLEAN_10005389
Millet_GLEAN_10036681,Millet_GLEAN_10010479,Millet_GLEAN_10022949,Millet_GLEAN_10007430
Millet_GLEAN_10022613,Millet_GLEAN_10007430,Millet_GLEAN_10036681,Millet_GLEAN_10000913
Millet_GLEAN_10010479,Millet_GLEAN_10008985,Millet_GLEAN_10010479,Millet_GLEAN_10008985
Millet_GLEAN_10007430,Millet_GLEAN_10001627,Millet_GLEAN_10021114,Millet_GLEAN_10024007
Millet_GLEAN_10018867,Millet_GLEAN_10012598,Millet_GLEAN_10007430,Millet_GLEAN_10007268
Millet_GLEAN_10034398,Millet_GLEAN_10007267,Millet_GLEAN_10009921,Millet_GLEAN_10037082
Millet_GLEAN_10001627,Millet_GLEAN_10013382,Millet_GLEAN_10008985,Millet_GLEAN_10030269
Millet_GLEAN_10001358,Millet_GLEAN_10034040,Millet_GLEAN_10001358,Millet_GLEAN_10025571
Millet_GLEAN_10010608,Millet_GLEAN_10035312,Millet_GLEAN_10006119,Millet_GLEAN_10007267
Millet_GLEAN_10027515,Millet_GLEAN_10013750,Millet_GLEAN_10029619,Millet_GLEAN_10018856
Millet_GLEAN_10015899,Millet_GLEAN_10014396,Millet_GLEAN_10002974,Millet_GLEAN_10034231
Millet_GLEAN_10022110,Millet_GLEAN_10018457,Millet_GLEAN_10028205,Millet_GLEAN_10035727
Millet_GLEAN_10034374,Millet_GLEAN_10010840,Millet_GLEAN_10026204,Millet_GLEAN_10033182
Millet_GLEAN_10018308,Millet_GLEAN_10017692,Millet_GLEAN_10028233,Millet_GLEAN_10005680
Millet_GLEAN_10001926,Millet_GLEAN_10017043,Millet_GLEAN_10020380,Millet_GLEAN_10037294
Millet_GLEAN_10036727,Millet_GLEAN_10035412,Millet_GLEAN_10009376,Millet_GLEAN_10005689
Millet_GLEAN_10004246,Millet_GLEAN_10036956,Millet_GLEAN_10007755,Millet_GLEAN_10001199
Millet_GLEAN_10022107,Millet_GLEAN_10030850,Millet_GLEAN_10016746,Millet_GLEAN_10033011
Millet_GLEAN_10000615,Millet_GLEAN_10033801,Millet_GLEAN_10032092,Millet_GLEAN_10000881
Millet_GLEAN_10006946,Millet_GLEAN_10028432,Millet_GLEAN_10026708,Millet_GLEAN_10035875
Millet_GLEAN_10037294,Millet_GLEAN_10013153,Millet_GLEAN_10038069,Millet_GLEAN_10036594
Millet_GLEAN_10000881,Millet_GLEAN_10017534,Millet_GLEAN_10016256,Millet_GLEAN_10024709
Millet_GLEAN_10013382,Millet_GLEAN_10003534,,Millet_GLEAN_10019181
Millet_GLEAN_10026899,Millet_GLEAN_10021565,,Millet_GLEAN_10030697
Millet_GLEAN_10010585,Millet_GLEAN_10013611,,Millet_GLEAN_10025572
Millet_GLEAN_10013515,Millet_GLEAN_10015170,,Millet_GLEAN_10037539
Millet_GLEAN_10003625,Millet_GLEAN_10018321,,Millet_GLEAN_10019182
Millet_GLEAN_10022466,Millet_GLEAN_10016256,,Millet_GLEAN_10019694
Millet_GLEAN_10009250,Millet_GLEAN_10034769,,Millet_GLEAN_10025529
Millet_GLEAN_10019181,Millet_GLEAN_10029195,,Millet_GLEAN_10007428
Millet_GLEAN_10030326,Millet_GLEAN_10014816,,Millet_GLEAN_10012967
Millet_GLEAN_10028293,Millet_GLEAN_10023192,,Millet_GLEAN_10032493
Millet_GLEAN_10019182,Millet_GLEAN_10028891,,Millet_GLEAN_10023819
Millet_GLEAN_10005034,Millet_GLEAN_10037273,,Millet_GLEAN_10033463
Millet_GLEAN_10014643,Millet_GLEAN_10037883,,Millet_GLEAN_10034018
Millet_GLEAN_10033462,Millet_GLEAN_10018757,,Millet_GLEAN_10038534
Millet_GLEAN_10005952,Millet_GLEAN_10031338,,Millet_GLEAN_10012645
Millet_GLEAN_10017877,Millet_GLEAN_10024471,,Millet_GLEAN_10022322
Millet_GLEAN_10032592,Millet_GLEAN_10026539,,Millet_GLEAN_10015662
Millet_GLEAN_10031564,Millet_GLEAN_10010941,,Millet_GLEAN_10009764
Millet_GLEAN_10020046,Millet_GLEAN_10002486,,Millet_GLEAN_10004854
Millet_GLEAN_10016438,Millet_GLEAN_10017343,,Millet_GLEAN_10025644
Millet_GLEAN_10033646,Millet_GLEAN_10008314,,Millet_GLEAN_10032216
Millet_GLEAN_10016403,Millet_GLEAN_10038067,,Millet_GLEAN_10003215
Millet_GLEAN_10028233,Millet_GLEAN_10014840,,Millet_GLEAN_10033517
Millet_GLEAN_10034682,Millet_GLEAN_10010839,,Millet_GLEAN_10033745
Millet_GLEAN_10009065,Millet_GLEAN_10031993,,Millet_GLEAN_10020361
Millet_GLEAN_10021553,Millet_GLEAN_10032027,,Millet_GLEAN_10033606
Millet_GLEAN_10014544,Millet_GLEAN_10002381,,Millet_GLEAN_10022609
Millet_GLEAN_10017534,Millet_GLEAN_10004261,,Millet_GLEAN_10026204
,,,Millet_GLEAN_10026036
,,,Millet_GLEAN_10019943
,,,Millet_GLEAN_10025643
,,,Millet_GLEAN_10023607
,,,Millet_GLEAN_10029557
,,,Millet_GLEAN_10032337
,,,Millet_GLEAN_10036057
,,,Millet_GLEAN_10007610
,,,Millet_GLEAN_10019322
,,,Millet_GLEAN_10010815
,,,Millet_GLEAN_10020561
,,,Millet_GLEAN_10038195
,,,Millet_GLEAN_10028075
,,,Millet_GLEAN_10002884
,,,Millet_GLEAN_10036789
,,,Millet_GLEAN_10022624
,,,Millet_GLEAN_10017038
,,,Millet_GLEAN_10018846
,,,Millet_GLEAN_10034728
,,,Millet_GLEAN_10028311
,,,Millet_GLEAN_10008846
,,,Millet_GLEAN_10008547
,,,Millet_GLEAN_10037152
,,,Millet_GLEAN_10023808
,,,Millet_GLEAN_10012931
,,,Millet_GLEAN_10012453
,,,Millet_GLEAN_10023189
