Control.SUZ12G.946,173.SUZ12G.946,ControlSUZ12G306,173SUZ12G306,Control.SUZ12A.1296,173.SUZ12A.1296,ControlSUZ12A1021,173SUZ12A1021,Control.SUZ12G.946,173.SUZ12G.946,ControlSUZ12G306,173SUZ12G306,Control.SUZ12A.1296,173.SUZ12A.1296,ControlSUZ12A1021,173SUZ12A1021,SUZ12G.946,SUZ12G306,SUZ12A.1296,SUZ12A1021,SUZ12G.946,SUZ12G306P,SUZ12A.1296,SUZ12A1021P
6.5,5.9,6.1,4.5,9.1,4,8,5.1,3.1,3.6,2.5,1.8,2.5,2,2.4,3,-0.641025641,-1.273,-3.242,-1.38,0.476923077,-0.273,-0.516,0.5
6.9,6.4,5.9,7.6,8.4,2.2,8.5,6.7,3.3,3.8,2.1,3,3.1,1.6,3,3.2,-0.141025641,1.827,-5.042,0.22,0.676923077,0.927,-0.916,0.7
4.8,7.4,4.4,6.2,8.3,7,5.9,3.2,1.7,3.9,0.9,3.1,1.9,2.7,2.5,2.2,0.858974359,0.427,-0.242,-3.28,0.776923077,1.027,0.184,-0.3
5.2,5.2,3.6,6,10.7,6.1,7.6,4.8,4,3.1,2,2.6,2.8,2.3,2.6,2.9,-1.341025641,0.227,-1.142,-1.68,-0.023076923,0.527,-0.216,0.4
6.1,5.5,3.6,6.2,7.2,5.5,6.2,4.3,3,3.7,1.6,3.3,2.6,1.6,2.9,2.1,-1.041025641,0.427,-1.742,-2.18,0.576923077,1.227,-0.916,-0.4
6.4,4.5,8.1,6.4,7,5.4,7.3,2.2,3.7,3.1,3.2,2.6,3.1,3.1,3,1.8,-2.041025641,0.627,-1.842,-4.28,-0.023076923,0.527,0.584,-0.7
7.5,6.5,5.2,5.4,6.6,5.1,8.6,6.5,3.7,3.7,2,1.8,2.1,1.8,1.5,2.9,-0.041025641,-0.373,-2.142,0.02,0.576923077,-0.273,-0.716,0.4
4.6,6.9,4.5,3.9,8.4,6.5,7.6,1.7,2.5,3.7,2,2.7,2.9,2,2.8,1.8,0.358974359,-1.873,-0.742,-4.78,0.576923077,0.627,-0.516,-0.7
6,3.5,4.4,5.2,6,7.3,6.9,2.1,3,1.9,1.4,2.6,2,2.9,2.4,2,-3.041025641,-0.573,0.058,-4.38,-1.223076923,0.527,0.384,-0.5
5.5,6.4,4.7,7.9,7,8.2,3.4,4.4,2.5,3.3,2.7,3,1.4,3.4,2.4,3.6,-0.141025641,2.127,0.958,-2.08,0.176923077,0.927,0.884,1.1
8.5,5.5,7.1,6.4,4.5,6.2,7,4.9,3.4,2.5,2.2,2.8,2.8,3.2,1.8,2.3,-1.041025641,0.627,-1.042,-1.58,-0.623076923,0.727,0.684,-0.2
5.5,4.8,7.2,7.3,5.2,4.9,6.4,4.3,1.8,3.3,1.7,2.6,2.8,1.9,1.9,2.9,-1.741025641,1.527,-2.342,-2.18,0.176923077,0.527,-0.616,0.4
9.3,7.4,6.6,4.6,6,8.1,6.5,4.6,3.1,4.1,2.8,2.1,2.2,3.5,1.9,3.3,0.858974359,-1.173,0.858,-1.88,0.976923077,0.027,0.984,0.8
