Control.FaQRA.494,594.FaQRA.494,Control.FaQRA.1631,594.FaQRA.1631,Control.FaQRG.571,594.FaQRG.571,Control.FaQRG.1191,594.FaQRG.1191,Control.FaQRA.494,594.FaQRA.494,Control.FaQRA.1631,594.FaQRA.1631,Control.FaQRG.571,594.FaQRG.571,Control.FaQRG.1191,594.FaQRG.1191,FaQRA.494,FaQRA.1631,FaQRG.1191,FaQRG.571,FaQRA.494,FaQRA.1631,FaQRG.1191,FaQRG.571
4,4.1,6.5,8.5,6,9,7.4,7,2.5,3.2,3.2,1.8,3.2,3.9,2.8,3.4,2.645454545,1.155555556,0.84,1.358,1.127272727,-0.672222222,1.075555556,1.048
7.8,5,8.6,7.6,9,8.7,4,7.3,3.8,2.6,3.1,2.1,3,3.8,2.5,3.5,2.245454545,0.255555556,1.14,1.058,0.527272727,-0.372222222,1.175555556,0.948
4.5,6.5,6.8,9.6,6.5,9,6.5,7.9,3.2,2.8,3.5,3.8,2.4,3.4,2.5,4,2.145454545,2.255555556,1.74,1.358,0.727272727,1.327777778,1.675555556,0.548
6.7,7.6,8.1,8.7,8.6,8,6.4,6.4,3.8,2.6,3.5,3,2.5,3.5,3,3.2,1.745454545,1.355555556,0.24,0.358,0.527272727,0.527777778,0.875555556,0.648
5.4,8.5,9.1,9.5,4.3,10,5.5,7.5,2.9,2.3,3.4,3.4,2.5,3.6,2.4,4,1.145454545,2.155555556,1.34,2.358,0.227272727,0.927777778,1.675555556,0.748
5.5,8,7.5,8,6.2,8.6,5.6,4.4,2,3.1,3,2,3,2.9,2.8,3.9,1.145454545,0.655555556,-1.76,0.958,1.027272727,-0.472222222,1.575555556,0.048
7,3,6.4,8.2,8.5,7.8,7.3,7.9,2.5,1.9,2.9,2.2,3.5,2.5,2.7,3.1,0.645454545,0.855555556,1.74,0.158,-0.172727273,-0.272222222,0.775555556,-0.352
5.6,5.8,6.5,9.1,10.9,7.9,4.2,6.4,2.2,2,3.3,2.6,3.4,3,2.3,2.7,0.645454545,1.755555556,0.24,0.258,-0.072727273,0.127777778,0.375555556,0.148
6.6,6.5,11.4,10.4,8,11.1,7.1,8,2.5,2.8,2.8,3.3,3.2,2.8,3.1,3.2,0.145454545,3.055555556,1.84,3.458,0.727272727,0.827777778,0.875555556,-0.052
6.9,4.6,5.8,6.9,9.3,9.7,9.5,6,2.1,2.5,2.6,2.3,3.1,2.6,2.1,3,0.145454545,-0.444444444,-0.16,2.058,0.427272727,-0.172222222,0.675555556,-0.252
7,6,7.3,12.2,6.5,9,7,7.2,1.7,2.2,2.5,3.5,2.8,2.9,2.2,3.5,0.145454545,4.855555556,1.04,1.358,0.127272727,1.027777778,1.175555556,0.048
5.6,8.1,8.8,9,6.2,6.5,6.2,7,1.9,3.1,3.5,2.9,2,3.3,2.2,3.5,0.145454545,1.655555556,0.84,-1.142,1.027272727,0.427777778,1.175555556,0.448
6.4,7,9.8,7.9,10,9,5.2,5,1.5,1.5,3.1,1.9,3.1,3.4,1.9,3.1,-0.054545455,0.555555556,-1.16,1.358,-0.572727273,-0.572222222,0.775555556,0.548
4.6,3.5,10.2,9,9.5,10,6.3,7.2,1.6,2,3.2,4,2.8,3.8,2.4,4.2,-0.854545455,1.655555556,1.04,2.358,-0.072727273,1.527777778,1.875555556,0.948
4.6,3.5,6.9,8.5,8.3,7.6,6.5,5.5,1.6,2.5,1.4,2.7,3,3.4,2.3,3.1,-0.954545455,1.155555556,-0.66,-0.042,0.427272727,0.227777778,0.775555556,0.548
7,4.9,5.8,8.6,8.2,8,7.5,7,1.6,2.1,1.6,3.8,3.2,3.8,2.1,3.5,-1.254545455,1.255555556,0.84,0.358,0.027272727,1.327777778,1.175555556,0.948
3.9,6,4.2,8.6,8.5,7.3,4.7,8,1,3,1.9,3.6,3,3.1,2.5,3.6,-1.354545455,1.255555556,1.84,-0.342,0.927272727,1.127777778,1.275555556,0.248
4,4.2,7.7,12.3,8,9.8,5.5,6.5,1.5,1.6,2.4,4.3,2.8,3.4,2.3,3.4,-1.354545455,4.955555556,0.34,2.158,-0.472727273,1.827777778,1.075555556,0.548
8,7,8.7,6.7,7,8.5,7.3,6.4,1,2,3,2.9,2.4,3.3,1.8,3.4,-1.654545455,-0.644444444,0.24,0.858,-0.072727273,0.427777778,1.075555556,0.448
5,4.2,10.2,9.2,7,8,7,6.7,1.5,1.4,3.7,2.7,2.6,3.1,3.3,3,-1.654545455,1.855555556,0.54,0.358,-0.672727273,0.227777778,0.675555556,0.248
4.5,4.5,3.3,7.7,7,11,6,4.5,1.7,1.5,2.4,3.3,3,3.7,2.2,3.5,-1.754545455,0.355555556,-1.66,3.358,-0.572727273,0.827777778,1.175555556,0.848
8.2,6,8.5,10.9,9.4,7.5,6.7,8.2,1.5,1.4,3.2,2.5,3.6,3.1,3,3.6,-2.354545455,3.555555556,2.04,-0.142,-0.672727273,0.027777778,1.275555556,0.248
,6,9,7.8,7.1,8.8,8.9,8.2,,1.5,1.9,3.2,2.5,3.7,3.5,3.5,-2.354545455,0.455555556,2.04,1.158,-0.572727273,0.727777778,1.175555556,0.848
,3.1,6.4,8.2,9,7.5,7,6.4,,1.5,1.4,2.1,3,2.7,2.5,3,-2.754545455,0.855555556,0.24,-0.142,-0.572727273,-0.372222222,0.675555556,-0.152
,1,9.3,8.6,7.6,8.8,6.5,6,,1.5,2.6,2.5,2.5,2.9,2.5,3.6,-2.854545455,1.255555556,-0.16,1.158,-0.572727273,0.027777778,1.275555556,0.048
,4.5,6.7,8.7,9.5,5,6,5,,1.5,1.5,2.7,2.3,3.1,2.4,3,,1.355555556,-1.16,-2.642,,0.227777778,0.675555556,0.248
,,7.2,7.6,9.7,8.2,8.5,5.6,,,2.6,1.9,3.5,3.2,2.2,2.8,,0.255555556,-0.56,0.558,,-0.572222222,0.475555556,0.348
,,5.7,7.3,6,7,6.5,6.2,,,1.9,1.2,2.5,3,2,3.7,,-0.044444444,0.04,-0.642,,-1.272222222,1.375555556,0.148
,,9.1,7.4,6.4,9,7,7.7,,,3.1,1.4,3.3,3.5,2.6,2.9,,0.055555556,1.54,1.358,,-1.072222222,0.575555556,0.648
,,9.2,1.7,8.5,6.1,6,7.2,,,2.5,1,3.5,3,2.4,3.3,,-5.644444444,1.04,-1.542,,-1.472222222,0.975555556,0.148
,,6,4,9,10.2,4,6.6,,,1.9,1.2,3.2,3.5,2.2,3.6,,-3.344444444,0.44,2.558,,-1.272222222,1.275555556,0.648
,,4.7,9.2,6,9,3,6,,,2,1.3,2.9,3.1,1.9,2.5,,1.855555556,-0.16,1.358,,-1.172222222,0.175555556,0.248
,,6.8,8,10.5,7.2,5.5,9.6,,,1.7,1.7,2.9,3.2,2.1,3.5,,0.655555556,3.44,-0.442,,-0.772222222,1.175555556,0.348
,,7.5,4.4,5.2,5.9,6.2,7.8,,,1,1.2,1.8,3.8,1.9,2.4,,-2.944444444,1.64,-1.742,,-1.272222222,0.075555556,0.948
,,3.5,3.6,5.2,7,4.5,5.5,,,1.1,0.8,2.8,3,1.9,2.4,,-3.744444444,-0.66,-0.642,,-1.672222222,0.075555556,0.148
,,5.2,4.6,7.6,5.2,7.6,7.1,,,0.6,1.4,3.2,2.6,2.3,2.8,,-2.744444444,0.94,-2.442,,-1.072222222,0.475555556,-0.252
,,,6.8,9.8,7.5,8.1,6.5,,,,0.8,3.2,3.3,2.6,2.4,,-0.544444444,0.34,-0.142,,-1.672222222,0.075555556,0.448
,,,,8.6,5,7.3,7.2,,,,,2.4,3,2,2.8,,,1.04,-2.642,,,0.475555556,0.148
,,,,9,9,3.6,6,,,,,2.5,3,1.8,3.8,,,-0.16,1.358,,,1.475555556,0.148
,,,,5.5,9,2.8,5.1,,,,,3.6,3.3,1.8,3,,,-1.06,1.358,,,0.675555556,0.448
,,,,6.5,8,5.8,6.6,,,,,2.7,3.6,2,3.1,,,0.44,0.358,,,0.775555556,0.748
,,,,6.5,7,5.5,,,,,,2.5,2.4,1.6,,,,,-0.642,,,,-0.452
,,,,6,8.4,6.3,,,,,,1.9,3,2.1,,,,,0.758,,,,0.148
,,,,7.4,7.5,5.2,,,,,,2.7,2.3,1.8,,,,,-0.142,,,,-0.552
,,,,7,7.5,6,,,,,,2.8,3.2,2.1,,,,,-0.142,,,,0.348
,,,,8.2,7.2,,,,,,,3.5,3.1,,,,,,-0.442,,,,0.248
,,,,8.9,,,,,,,,3,,,,,,,,,,,
,,,,6,,,,,,,,2.5,,,,,,,,,,,
,,,,7,,,,,,,,3,,,,,,,,,,,
,,,,5.5,,,,,,,,2.3,,,,,,,,,,,
