Geneid	H2O	Y173	Y299	Y550	Y594
Millet_GLEAN_10033348	0	0	0	0	0
Millet_GLEAN_10033347	211	884	625	409	975
Millet_GLEAN_10033346	41	64	81	27	84
Millet_GLEAN_10033345	0	3	10	0	6
Millet_GLEAN_10033344	6821	13188	14380	7253	24673
Millet_GLEAN_10033343	2020	3807	4323	2109	6447
Millet_GLEAN_10033342	14283	24725	21184	15079	21537
Millet_GLEAN_10033341	3911	8506	7946	4684	9490
Millet_GLEAN_10033340	18	49	78	18	137
Millet_GLEAN_10033339	0	10	14	7	36
Millet_GLEAN_10033338	166	335	346	305	464
Millet_GLEAN_10033337	0	5	7	4	17
Millet_GLEAN_10033336	18557	43627	44798	24129	43359
Millet_GLEAN_10033335	984	2099	2812	2301	2910
Millet_GLEAN_10033334	2755	5731	6125	2303	10284
Millet_GLEAN_10033333	5966	12036	11593	7169	14484
Millet_GLEAN_10033332	5141	12517	11600	5650	18242
Millet_GLEAN_10033331	1358	3261	2518	1650	3074
Millet_GLEAN_10033330	4	16	1	1	6
Millet_GLEAN_10033329	211	199	396	408	360
Millet_GLEAN_10033328	36113	79746	70361	34572	100984
Millet_GLEAN_10033327	6393	12978	11230	5815	18161
Millet_GLEAN_10033326	1082	2425	2174	1675	2265
Millet_GLEAN_10033325	1829	5446	5227	2250	6547
Millet_GLEAN_10033324	980	2095	1869	1476	2481
Millet_GLEAN_10033323	0	10	2	0	9
Millet_GLEAN_10033322	1696	2901	3121	1803	3665
Millet_GLEAN_10033321	3014	6781	6939	3616	9249
Millet_GLEAN_10033320	0	0	0	0	0
Millet_GLEAN_10033319	0	0	0	0	0
Millet_GLEAN_10033318	1121	2508	2422	1450	3272
Millet_GLEAN_10033317	30	26	25	17	61
Millet_GLEAN_10033316	0	8	0	2	4
Millet_GLEAN_10033315	46	30	45	65	79
Millet_GLEAN_10033314	6401	10327	9829	7623	11945
Millet_GLEAN_10033313	4290	9882	7411	4521	20181
Millet_GLEAN_10033312	2	6	4	4	24
Millet_GLEAN_10033311	13	56	33	27	15
Millet_GLEAN_10033310	508	1434	1361	751	1364
Millet_GLEAN_10033309	3782	7796	7103	4051	9613
Millet_GLEAN_10033308	645	1288	1099	870	1474
Millet_GLEAN_10033307	3647	8388	7862	4266	11679
Millet_GLEAN_10033306	566	1442	1351	855	1756
Millet_GLEAN_10033305	315	520	777	333	903
Millet_GLEAN_10033304	4917	10920	9613	5880	12091
Millet_GLEAN_10033303	2827	7533	6242	3508	8636
Millet_GLEAN_10033302	434	853	873	654	1135
Millet_GLEAN_10033301	289	52	22	29	4
Millet_GLEAN_10033300	4589	6811	6476	6929	8476
Millet_GLEAN_10033299	358	436	545	728	827
Millet_GLEAN_10033298	0	3	6	0	3
Millet_GLEAN_10033297	362	945	626	450	817
Millet_GLEAN_10033296	369	663	640	412	840
Millet_GLEAN_10033295	1230	3155	2684	1584	4022
Millet_GLEAN_10033294	142	178	194	143	237
Millet_GLEAN_10033293	6269	15845	14355	8599	21909
Millet_GLEAN_10033292	426	752	825	292	1035
Millet_GLEAN_10033291	1988	3396	3177	3247	4713
Millet_GLEAN_10033290	3338	7878	6573	4379	8685
Millet_GLEAN_10033289	3114	5936	5597	3512	8649
Millet_GLEAN_10033288	25	69	44	26	86
Millet_GLEAN_10033287	28	79	44	35	93
Millet_GLEAN_10033286	33	104	78	44	113
Millet_GLEAN_10033285	13	2	0	0	0
Millet_GLEAN_10033284	0	0	0	0	0
Millet_GLEAN_10033283	202	506	543	299	761
Millet_GLEAN_10033282	8	14	2	12	6
Millet_GLEAN_10033281	6	20	2	10	35
Millet_GLEAN_10033280	4	6	5	0	10
Millet_GLEAN_10033279	23	20	34	25	31
Millet_GLEAN_10033278	32	117	83	44	110
Millet_GLEAN_10033277	0	6	0	2	1
Millet_GLEAN_10033276	0	0	0	0	0
Millet_GLEAN_10033275	7444	17688	17987	9261	32189
Millet_GLEAN_10033274	0	0	0	0	0
Millet_GLEAN_10033273	497	1404	1183	631	1562
Millet_GLEAN_10033272	2262	6235	4844	3342	7596
Millet_GLEAN_10033271	3	13	4	3	7
Millet_GLEAN_10033270	0	3	0	0	4
Millet_GLEAN_10033269	0	0	0	0	0
Millet_GLEAN_10033268	100	378	530	237	604
Millet_GLEAN_10033267	13	91	95	48	80
Millet_GLEAN_10033266	99	154	142	105	377
Millet_GLEAN_10033265	35	56	62	53	157
Millet_GLEAN_10033264	1221	2888	2249	1619	2807
Millet_GLEAN_10033263	157	353	345	112	600
