SNP associated OTUs,Marker OTUs,Highly heritable OTUs
OTU_4021,OTU_19171,OTU_27554
OTU_472,OTU_204,OTU_28807
OTU_25514,OTU_21334,OTU_25735
OTU_554,OTU_23684,OTU_22207
OTU_3030,OTU_4108,OTU_15893
OTU_17156,OTU_4289,OTU_27606
OTU_76,OTU_6388,OTU_15369
OTU_23297,OTU_6431,OTU_22539
OTU_19853,OTU_676,OTU_12854
OTU_28080,OTU_77,OTU_478
OTU_28877,OTU_859,OTU_27592
OTU_28839,OTU_100,OTU_28416
OTU_154,OTU_155,OTU_409
OTU_10146,OTU_16754,OTU_1235
OTU_15433,OTU_127,OTU_1612
OTU_26564,OTU_148,OTU_9779
OTU_22726,OTU_205,OTU_27736
OTU_25487,OTU_219,OTU_64
OTU_3732,OTU_2422,OTU_22228
OTU_180,OTU_25134,OTU_26041
OTU_10192,OTU_25463,OTU_15598
OTU_15366,OTU_493,OTU_25531
OTU_138,OTU_798,OTU_27636
OTU_75,OTU_24028,OTU_28813
OTU_1998,OTU_25,OTU_26461
OTU_532,OTU_10646,OTU_19308
OTU_100,OTU_16396,OTU_28183
OTU_130,OTU_16465,OTU_19853
OTU_149,OTU_17208,OTU_12172
OTU_18637,OTU_17600,OTU_3940
OTU_26425,OTU_19284,OTU_8
OTU_28653,OTU_20590,OTU_28869
OTU_3694,OTU_2144,OTU_25712
OTU_2869,OTU_21573,OTU_281
OTU_160,OTU_21968,OTU_27582
OTU_22961,OTU_22329,OTU_28379
OTU_19788,OTU_22673,OTU_28537
OTU_283,OTU_24870,OTU_239
OTU_8631,OTU_2750,OTU_28022
OTU_2784,OTU_28080,OTU_798
OTU_298,OTU_28378,OTU_27556
OTU_867,OTU_3745,OTU_22271
OTU_24550,OTU_51,OTU_27607
OTU_19700,OTU_87,OTU_26423
OTU_6204,OTU_88,OTU_28352
OTU_9984,OTU_9000,OTU_296
OTU_19203,OTU_9170,OTU_22288
OTU_17158,OTU_22948,OTU_19376
OTU_77,OTU_69,OTU_11363
OTU_10869,OTU_25484,OTU_24744
OTU_22983,OTU_22251,OTU_25613
OTU_22892,OTU_16737,OTU_26408
OTU_209,OTU_10210,OTU_24028
OTU_493,OTU_12096,OTU_28415
OTU_22739,OTU_1735,OTU_317
OTU_549,OTU_21466,OTU_27771
OTU_124,OTU_28438,OTU_25704
OTU_3324,OTU_452,OTU_27966
OTU_25686,OTU_129,OTU_25739
OTU_2042,OTU_625,OTU_12129
OTU_117,OTU_18,OTU_26487
OTU_7536,OTU_22257,OTU_27706
OTU_24703,OTU_265,OTU_984
OTU_23110,OTU_147,OTU_22251
OTU_261,OTU_1817,OTU_2749
OTU_3715,OTU_74,OTU_25663
OTU_22191,OTU_78,OTU_643
OTU_132,OTU_318,OTU_21848
OTU_51,OTU_397,OTU_28034
OTU_19284,OTU_28653,OTU_1837
OTU_23759,OTU_11372,OTU_11372
OTU_28823,OTU_13220,OTU_27583
OTU_4108,OTU_26487,OTU_22216
OTU_24877,OTU_2749,OTU_15628
OTU_2628,OTU_28317,OTU_22265
OTU_10016,OTU_8,OTU_26390
OTU_432,OTU_15881,OTU_28393
OTU_14818,OTU_117,OTU_22231
OTU_19241,OTU_24323,OTU_20217
OTU_22265,OTU_4,OTU_6683
OTU_15426,OTU_31,OTU_10236
OTU_17305,OTU_11612,OTU_26353
OTU_95,OTU_13118,OTU_21937
OTU_6388,OTU_213,OTU_28035
OTU_129,OTU_23,OTU_24419
OTU_1817,OTU_3689,OTU_9137
OTU_1675,OTU_71,OTU_28317
OTU_28415,OTU_80,OTU_200
OTU_28380,OTU_136,OTU_19525
OTU_22539,OTU_3030,OTU_19835
OTU_25881,OTU_19141,OTU_22329
OTU_27573,OTU_1235,OTU_110
OTU_22167,OTU_2385,OTU_28332
OTU_15210,OTU_25735,OTU_10579
OTU_28807,OTU_26647,OTU_25881
OTU_90,OTU_27736,OTU_28380
OTU_20169,OTU_107,OTU_90
OTU_643,OTU_191,OTU_25
OTU_9137,OTU_2756,OTU_27581
OTU_66,OTU_3519,OTU_30
OTU_194,OTU_4297,OTU_13220
OTU_285,OTU_571,OTU_10146
OTU_458,OTU_96,OTU_19215
OTU_9620,OTU_63,OTU_28124
OTU_11086,OTU_10255,OTU_26413
OTU_107,OTU_1219,OTU_374
OTU_13139,OTU_162,OTU_138
OTU_320,OTU_2653,OTU_229
OTU_9995,OTU_26869,OTU_219
OTU_27583,OTU_79,OTU_27588
OTU_15635,OTU_975,OTU_25518
