OTU_ID	SNPs	SNP_OTU_beta	abs_beta	po_ne
OTU_8I Kitasatospora	si:2:36177507|2-methylene-furan-3-one reductase	0.7952741	0.7952741	1
OTU_22257I Amycolatopsis	si:7:19251044|acetyltransferase 	-0.2296875	0.2296875	-1
OTU_44I Adhaeribacter	si:7:11346839|achilleol B synthase	0.3837378	0.3837378	1
OTU_18308I Nitrososphaera	si:7:19882840|ARF9	0.3858358	0.3858358	1
OTU_9567I Rhizobacter	si:4:36900743|Beta-amyrin 28-monooxygenase	0.1837393	0.1837393	1
OTU_493I Gp3	si:1:9196011|beta-glucosidase	0.3240078	0.3240078	1
OTU_472I Tepidimonas	si:3:4780643|BGLU12	-0.1795029	0.1795029	-1
OTU_493I Gp3	si:7:13687399|bHLH35	0.7803296	0.7803296	1
OTU_798I Gp3	si:7:13687399|bHLH35	0.7566914	0.7566914	1
OTU_25I Gp4	si:7:13687399|bHLH35	0.8508099	0.8508099	1
OTU_9000I Gp6	si:7:13687399|bHLH35	0.8225009	0.8225009	1
OTU_17600I Gp6	si:7:13687399|bHLH35	0.8123555	0.8123555	1
OTU_10646I Gp6	si:7:13687399|bHLH35	0.7848457	0.7848457	1
OTU_21968I Gp6	si:7:13687399|bHLH35	0.7699059	0.7699059	1
OTU_22329I Gp6	si:7:13687399|bHLH35	0.7412385	0.7412385	1
OTU_24870I Gp6	si:7:13687399|bHLH35	0.7429873	0.7429873	1
OTU_192I Ohtaekwangia	si:7:13687399|bHLH35	0.7064347	0.7064347	1
OTU_8037I Comamonadaceae	si:7:13687399|bHLH35	0.7696137	0.7696137	1
OTU_229I Rhodocyclaceae	si:7:13687399|bHLH35	0.7944643	0.7944643	1
OTU_9567I Rhizobacter	si:4:36935753|BRI1	0.186181	0.186181	1
OTU_11342I Comamonadaceae	si:4:36881016|CRKs	0.1703604	0.1703604	1
OTU_9567I Rhizobacter	si:4:36879380|CRKs	0.1866939	0.1866939	1
OTU_10146I Xanthomonadaceae	si:3:39749463|RXW8	0.6647387	0.6647387	1
OTU_20216I Bacillus	si:2:5674042|Cyclin-like F-box	0.6997524	0.6997524	1
OTU_16754I Bacteria	si:3:45466318|Cyclin-like F-box	0.1603372	0.1603372	1
OTU_342I Terribacillus	si:3:13785712|Cytochrome P450 71A1	0.6644088	0.6644088	1
OTU_24323I Lechevalieria	si:8:4381175|DUF1618	0.3352174	0.3352174	1
OTU_11342I Comamonadaceae	si:4:36892708|DUF547	0.172138	0.172138	1
OTU_9567I Rhizobacter	si:4:36892708|DUF547	0.1916742	0.1916742	1
OTU_10146I Xanthomonadaceae	si:7:29989845|Exonuclease	0.2874883	0.2874883	1
OTU_22257I Amycolatopsis	si:7:19247514|F-box protein 7	-0.2545502	0.2545502	-1
OTU_127I Blastocatella	si:7:2994337|FLS2	0.8106886	0.8106886	1
OTU_25I Gp4	si:7:2994337|FLS2	0.960976	0.960976	1
OTU_24028I Gp4	si:7:2994337|FLS2	0.9069781	0.9069781	1
OTU_10646I Gp6	si:7:2994337|FLS2	0.9253483	0.9253483	1
OTU_21968I Gp6	si:7:2994337|FLS2	0.9104799	0.9104799	1
OTU_22329I Gp6	si:7:2994337|FLS2	0.8718759	0.8718759	1
OTU_17600I Gp6	si:7:2994337|FLS2	0.8703314	0.8703314	1
OTU_24870I Gp6	si:7:2994337|FLS2	0.851718	0.851718	1
OTU_22948I Gp7	si:7:2994337|FLS2	0.8008689	0.8008689	1
OTU_156I Cystobacter	si:7:2994337|FLS2	0.8446314	0.8446314	1
OTU_429I Herbaspirillum	si:7:2994337|FLS2	0.8120547	0.8120547	1
